label,label_name,path,landmarks
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/00nKV8oHuTGi20gq.png,"[1.44002516 1.13540445 0.87241779 1.32309178 1.11077193 0.56704174
 1.06796482 1.07223406 0.30667675 0.78390284 0.96477781 0.04735494
 0.54576571 0.73652223 0.         0.65413987 1.00637417 0.48131062
 0.36108825 0.81439213 0.3606911  0.43264138 1.33633005 0.40499673
 0.56561555 1.57079633 0.43908455 0.57483415 1.05338628 0.98579332
 0.49306448 0.60095674 1.12164399 0.56985041 0.7578948  0.85674266
 0.61160679 1.01924    0.79882165 0.64748999 1.16256984 1.36875934
 0.64149855 0.77077406 1.46774196 0.82884737 0.65207998 1.23384709
 0.90336393 0.7352451  1.12126034 0.76493946 1.27894289 1.55156724
 0.77025917 0.89237582 0.         1.03856723 0.66957228 1.41877215
 1.23291663 0.62479192 1.32753841]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/0OEXfEooCXlljaEl.png,"[0.69846124 1.10940505 0.         1.01907292 1.28091836 0.28443491
 1.1636297  1.4255765  0.51858403 1.24325226 1.5096855  0.74855793
 1.24869092 1.46623027 0.93607494 1.03765706 1.46173175 0.80713187
 1.11073896 1.43213243 1.05244364 1.07789367 1.32568251 0.91190561
 1.06076016 1.26050194 0.78824511 0.78089604 1.49847973 1.00661277
 0.99625601 1.18170828 1.1516614  1.09981884 0.9458809  1.01656377
 1.10121305 0.87174437 0.89483248 0.57687652 1.52071813 1.23714867
 0.80281767 1.08677152 1.24247853 1.01821175 0.73191733 1.09719484
 1.06854805 0.62951278 0.95142657 0.42767085 1.57079633 0.
 0.63536446 1.01751048 1.42914346 0.90686711 0.58726497 1.23337145
 1.09610546 0.42187942 1.10216646]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/0NDYNEoDui7o64gU.png,"[1.0175537  0.1860146  0.         1.04551328 0.6674042  1.49358269
 1.23977749 0.9820785  1.24381489 1.35410928 1.10317871 0.9742999
 1.3376747  1.14956912 0.76945141 1.08694528 1.16954717 0.91963602
 1.30081952 1.4404022  0.68356185 1.18553072 1.53374306 0.76882044
 1.07213842 1.57079633 0.88271587 0.9596387  1.10317224 0.60601383
 1.20334916 1.2972426  0.53264279 1.1125282  1.24636199 0.60888517
 0.99406625 1.20494009 0.67293899 0.91061411 1.05604696 0.28655344
 1.09936386 1.18801619 0.34948917 1.07244992 1.03100418 0.40505397
 1.01691189 0.91824884 0.43440312 0.90330548 1.04676384 0.
 1.06376138 1.10998818 0.17177895 1.06577254 0.91108182 0.19767103
 1.07762402 0.76212217 0.17266526]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/1COBZEE1ALiJIivQ.png,"[1.15591325 1.04945758 0.0685459  1.06711991 0.60384035 0.
 1.00319318 0.38056336 0.5195176  1.06269182 0.45151308 1.17864616
 1.19186333 0.57531238 1.32280988 0.49792821 0.92769783 0.88201359
 0.64369937 1.21132305 0.         0.60284634 1.08230566 1.39505032
 0.58966962 0.89791816 1.12684488 0.70448942 1.358036   0.94449392
 0.83740384 1.225087   1.38575642 0.87230244 0.96075404 1.25406117
 0.89617848 0.83689116 1.07760125 0.95055121 1.50807938 0.93372194
 1.01090835 1.26530239 1.24680988 1.05847786 1.00256428 1.15074674
 1.07661254 0.92077568 1.01136288 1.15478425 1.57079633 0.90641378
 1.14015867 1.33954055 1.12220206 1.18330987 1.07381349 1.05232703
 1.25563193 0.9420873  0.95486921]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/1e1VCnCEApnFh9Oo.png,"[0.16512555 0.         0.         0.4838007  1.16330351 1.56943467
 0.82710605 1.33177553 1.28984925 1.14721022 1.38852601 1.03797182
 1.33913118 1.38165026 0.86379469 1.00428637 1.48127817 0.80582086
 1.27396861 1.47325026 0.72169185 1.10884283 1.52482229 0.79822322
 0.97048931 1.57079633 0.86560797 0.97895055 1.50384675 0.54120318
 1.24035756 1.27153735 0.56662394 1.1184231  1.23172115 0.62186203
 0.95210508 1.2968996  0.65271074 0.9558172  1.47859256 0.30243295
 1.14964294 1.15741725 0.39424992 1.12369835 0.98226052 0.43475474
 0.98711447 0.93966219 0.43729429 0.9477674  1.45810947 0.08824336
 1.10240457 1.11748871 0.21115305 1.19202078 0.82292112 0.22281012
 1.25201781 0.6456469  0.19654047]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/1BqjHe5igJAgUjiN.png,"[1.00139579 1.51799163 0.         1.0968513  1.38141386 0.39564512
 1.091922   1.39380995 0.75381949 1.08407413 1.41457895 1.11313985
 1.04715127 1.33185117 1.38558732 0.8795068  1.37766868 1.08128653
 0.89374053 1.20540016 1.45747941 0.92671657 1.06362734 1.24892059
 0.98032733 1.00587135 1.05369297 0.609386   1.42838157 1.13246686
 0.81251798 0.89926465 1.51696302 0.96998726 0.69900043 1.30044632
 0.99754814 0.6733401  1.06358712 0.37016298 1.46653605 1.11142653
 0.62493875 0.75262925 1.56040798 0.88085005 0.49444452 1.2855783
 0.94462724 0.47163994 0.9411492  0.16233997 1.57079633 0.88644567
 0.47588793 0.50824299 0.         0.83074481 0.29055762 1.08155049
 1.03390985 0.25682114 0.65102457]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/1VoYiUgPE6h45MLu.png,"[1.17332461 1.12576665 0.33548387 1.28861126 1.10370705 0.78735894
 1.26943926 1.08321104 1.10099252 1.20496605 1.00303196 1.33205849
 1.16601182 0.8711918  1.46366296 0.72836045 1.57079633 1.08898571
 0.85517369 1.44613282 0.         0.99915999 1.22466477 1.38542958
 1.0603725  1.07674831 1.22361295 0.45213525 1.44270781 0.87728371
 0.66379729 1.20969238 1.554291   0.88881543 0.99220128 1.34254351
 0.9656457  0.88348186 1.15423377 0.37727685 0.99922373 0.42556222
 0.58987867 0.81991805 1.36115045 0.86600668 0.69974299 1.18588718
 0.95549485 0.6544603  0.96491605 0.49700918 0.68111049 0.
 0.65477844 0.49596604 1.01915734 0.95193911 0.48194343 0.94015422
 1.10886255 0.44682164 0.72997008]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/1UucZqS3qblvU0cH.png,"[1.08458968 1.0713641  0.         1.31690222 0.93756266 0.34227614
 1.29205849 0.90573119 0.69134222 1.29847624 0.90142954 1.0152804
 1.38263726 0.87165589 1.23742131 1.02750255 1.21951824 0.90135532
 0.93193849 1.07478383 1.30015872 0.99955971 0.85978121 1.13855414
 1.12489026 0.77347901 0.9301809  0.72191565 1.31709623 0.98500465
 0.80754886 0.92017243 1.38676386 0.95098025 0.68384013 1.19945462
 1.00893737 0.65404089 0.9543883  0.45332073 1.39398244 1.07970368
 0.62755489 0.80858928 1.44257676 0.88067002 0.49090836 1.18419361
 0.96059997 0.462331   0.86518751 0.22524428 1.57079633 1.2420763
 0.48651504 0.58555263 0.         0.83299207 0.29490335 1.08929024
 1.0351672  0.26140619 0.69733633]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/1DxbXT3M2qiMjCmC.png,"[0.98151209 0.3691537  0.         0.89866984 0.29743112 1.44606339
 0.95529012 0.62449687 0.         1.07579998 0.86589656 1.40636053
 1.21951538 0.99676471 1.35364485 0.93293334 0.9345385  1.15849431
 1.08057747 1.34495025 1.07288625 0.93560552 1.51662855 1.12678484
 0.7930794  1.57079633 1.17618582 0.96996394 1.02870788 0.81026212
 1.16660366 1.19782687 0.87135913 1.05766428 1.14486883 0.90249468
 0.93274887 1.10587951 0.89630495 1.04944485 1.12087749 0.55877314
 1.21160232 1.17235709 0.68159378 1.22882936 0.9513516  0.6896629
 1.21380969 0.82122746 0.65494383 1.13461369 1.20214714 0.38483496
 1.24474214 1.18441486 0.52100553 1.29941231 0.93558494 0.51318657
 1.38490699 0.76400633 0.47186825]"
0,rock,/content/drive/MyDrive/Centrale/3A/Projet 3A/dataset_reel/rock/2DdERUV7Te8ivywq.png,"[0.88056898 0.27640873 0.         0.88575333 0.389336   1.45970734
 1.02308799 0.78123465 0.         1.19296864 0.99356316 1.39174821
 1.22589823 1.09400862 1.16331853 1.08913134 1.06150789 1.14397644
 1.14744931 1.24490136 1.04406999 0.95399978 1.4185411  1.03786091
 0.80366384 1.57079633 1.0777623  1.09405135 1.12537866 0.85496066
 1.18216244 1.04187981 0.82063918 1.04386002 1.0108563  0.80042856
 0.87507932 1.05808175 0.81666001 1.11959547 1.15630962 0.60587383
 1.18529322 1.03857061 0.60534251 1.13490867 0.92319818 0.5797783
 1.01051829 0.88658689 0.56784517 1.16613037 1.19504131 0.39795853
 1.23029459 1.05888234 0.42513369 1.27836197 0.85508586 0.37927064
 1.32902676 0.71905229 0.33766613]"
